branch,forecastdate,state,Clinton,Trump,,
President,10/28/16,Utah,30.39541,40.11558,,
President,10/28/16,Utah,27.03206,38.9474,,
President,10/28/16,Florida,46.77926,43.95346,,
President,10/28/16,Ohio,45.83632,43.439,,
President,10/28/16,North Carolina,39.83081,42.19001,,
President,10/28/16,Ohio,40.75383,40.31654,,
President,10/28/16,Utah,37.66415,31.16261,,
President,10/28/16,Utah,36.56206,35.90994,,
President,10/28/16,North Carolina,41.57375,44.39628,,
President,10/28/16,Virginia,49.53602,38.04281,,
President,10/28/16,Utah,29.07966,38.67707,,
President,10/28/16,Utah,28.19646,46.16856,,
President,10/28/16,Wisconsin,46.40978,37.20346,,
President,10/28/16,North Carolina,43.37402,45.3125,,
President,10/28/16,Pennsylvania,44.2688,42.77751,,
President,10/28/16,Ohio,40.14388,43.65981,,
President,10/28/16,New York,57.17519,33.47956,,
President,10/28/16,Utah,27.60047,39.68335,,
President,10/28/16,Michigan,45.79966,37.03926,,
President,10/28/16,Ohio,41.84813,43.8168,,
President,10/28/16,Florida,41.486,43.32398,,
President,10/28/16,New Hampshire,47.81409,33.31317,,
President,10/28/16,Utah,36.22649,40.48729,,
President,10/28/16,Pennsylvania,38.62971,43.22314,,
President,10/28/16,North Carolina,44.6364,42.50087,,
President,10/28/16,Colorado,36.5933,44.45737,,
President,10/28/16,Wisconsin,49.35404,36.55305,,
President,10/28/16,Alabama,37.53621,53.42842,,
President,10/28/16,New Hampshire,46.17157,37.48798,,
President,10/28/16,California,57.48937,24.4323,,
President,10/28/16,North Carolina,42.04498,41.34246,,
President,10/28/16,Utah,32.05808,46.10263,,
President,10/28/16,Wisconsin,46.58131,38.38083,,
President,10/28/16,North Carolina,48.7684,41.93993,,
President,10/28/16,Wisconsin,46.04169,39.47638,,